hfhudcode,id,cfname,updateddate,addeddate,reportdate,gown,gloves,head_cover,goggles,coverall,shoe_cover,face_shield,surgmask,n95mask,region,region_psgc,province,province_psgc,city_mun,city_mun_psgc,north_coord,east_coord
DOH000000000000003,7584,"DON LEOVIGILDO N. DIAPO, SR. MUNICIPAL HOSPITAL",2020-05-22 12:40:07,2020-05-22 12:40:07,2020-05-22,66,100,12,66,93,126,125,550,50,REGION VI (WESTERN VISAYAS),PH060000000,AKLAN,PH060400000,MADALAG,PH060410000,11.523766,122.304431
DOH000000000000004,1817,LABASON DISTRICT HOSPITAL,2020-04-24 17:41:41,2020-04-24 17:41:41,2020-04-24,35,250,35,0,0,35,40,300,20,REGION IX (ZAMBOANGA PENINSULA),PH090000000,ZAMBOANGA DEL NORTE,PH097200000,LABASON,PH097205000,8.0464201,122.5437698
DOH000000000000004,2114,LABASON DISTRICT HOSPITAL,2020-05-01 7:26:03,2020-05-01 7:25:28,2020-05-01,35,250,35,0,10,35,40,200,20,REGION IX (ZAMBOANGA PENINSULA),PH090000000,ZAMBOANGA DEL NORTE,PH097200000,LABASON,PH097205000,8.0464201,122.5437698
DOH000000000000004,477,LABASON DISTRICT HOSPITAL,2020-04-17 16:19:51,2020-04-17 16:19:51,2020-04-17,15,100,15,0,0,15,35,400,25,REGION IX (ZAMBOANGA PENINSULA),PH090000000,ZAMBOANGA DEL NORTE,PH097200000,LABASON,PH097205000,8.0464201,122.5437698
DOH000000000000004,4860,LABASON DISTRICT HOSPITAL,2020-05-08 18:58:04,2020-05-08 18:58:04,2020-05-08,35,35,35,200,5,35,40,150,15,REGION IX (ZAMBOANGA PENINSULA),PH090000000,ZAMBOANGA DEL NORTE,PH097200000,LABASON,PH097205000,8.0464201,122.5437698
DOH000000000000004,5154,LABASON DISTRICT HOSPITAL,2020-05-15 6:53:39,2020-05-15 6:53:39,2020-05-15,25,200,20,0,0,25,35,200,20,REGION IX (ZAMBOANGA PENINSULA),PH090000000,ZAMBOANGA DEL NORTE,PH097200000,LABASON,PH097205000,8.0464201,122.5437698
DOH000000000000004,7362,LABASON DISTRICT HOSPITAL,2020-05-22 10:33:36,2020-05-22 10:33:36,2020-05-22,25,200,20,0,0,25,35,200,20,REGION IX (ZAMBOANGA PENINSULA),PH090000000,ZAMBOANGA DEL NORTE,PH097200000,LABASON,PH097205000,8.0464201,122.5437698
DOH000000000000012,4404,OUR LADY OF HOPE MEDICAL CLINIC & HOSP.,2020-05-08 13:43:14,2020-05-08 13:43:14,2020-05-08,0,0,0,0,2,0,10,0,0,REGION XII (SOCCSKSA RGEN),PH120000000,SULTAN KUDARAT,PH126500000,ESPERANZA,PH126503000,6.7000699,124.5440292
DOH000000000000012,5745,OUR LADY OF HOPE MEDICAL CLINIC & HOSP.,2020-05-15 10:58:35,2020-05-15 10:58:35,2020-05-15,0,0,0,0,2,0,5,0,0,REGION XII (SOCCSKSA RGEN),PH120000000,SULTAN KUDARAT,PH126500000,ESPERANZA,PH126503000,6.7000699,124.5440292
DOH000000000000019,1252,LA PAZ MUNICIPAL HOSPITAL,2020-04-24 11:51:36,2020-04-24 11:51:36,2020-04-24,5,100,10,0,2,10,20,0,36,REGION XIII (CARAGA),PH160000000,AGUSAN DEL SUR,PH160300000,LA PAZ,PH160304000,8.28021,125.808958
DOH000000000000019,2140,LA PAZ MUNICIPAL HOSPITAL,2020-05-01 7:45:30,2020-05-01 7:45:30,2020-05-01,5,100,10,0,2,10,20,0,36,REGION XIII (CARAGA),PH160000000,AGUSAN DEL SUR,PH160300000,LA PAZ,PH160304000,8.28021,125.808958
DOH000000000000019,418,LA PAZ MUNICIPAL HOSPITAL,2020-04-17 15:43:40,2020-04-17 15:43:40,2020-04-17,5,100,10,0,2,10,20,0,36,REGION XIII (CARAGA),PH160000000,AGUSAN DEL SUR,PH160300000,LA PAZ,PH160304000,8.28021,125.808958
DOH000000000000019,4531,LA PAZ MUNICIPAL HOSPITAL,2020-05-08 14:56:31,2020-05-08 14:56:31,2020-05-08,5,100,10,5,2,10,20,0,35,REGION XIII (CARAGA),PH160000000,AGUSAN DEL SUR,PH160300000,LA PAZ,PH160304000,8.28021,125.808958
DOH000000000000019,5221,LA PAZ MUNICIPAL HOSPITAL,2020-05-15 7:48:38,2020-05-15 7:48:38,2020-05-15,5,100,10,5,2,10,20,0,35,REGION XIII (CARAGA),PH160000000,AGUSAN DEL SUR,PH160300000,LA PAZ,PH160304000,8.28021,125.808958
DOH000000000000019,7296,LA PAZ MUNICIPAL HOSPITAL,2020-05-22 10:08:47,2020-05-22 10:08:47,2020-05-22,50,200,50,50,5,50,50,200,50,REGION XIII (CARAGA),PH160000000,AGUSAN DEL SUR,PH160300000,LA PAZ,PH160304000,8.28021,125.808958
DOH000000000000023,1076,BANGUI DISTRICT HOSPITAL,2020-04-24 10:53:09,2020-04-24 10:13:59,2020-04-24,120,600,200,2,35,95,94,450,10,REGION I (ILOCOS REGION),PH010000000,ILOCOS NORTE,PH012800000,BANGUI,PH012804000,18.533204,120.761843
DOH000000000000023,2542,BANGUI DISTRICT HOSPITAL,2020-05-01 10:31:21,2020-05-01 10:31:21,2020-05-01,98,600,95,0,36,75,105,585,12,REGION I (ILOCOS REGION),PH010000000,ILOCOS NORTE,PH012800000,BANGUI,PH012804000,18.533204,120.761843
DOH000000000000023,3733,BANGUI DISTRICT HOSPITAL,2020-05-08 8:32:43,2020-05-08 8:32:43,2020-05-08,98,600,92,0,36,70,104,531,11,REGION I (ILOCOS REGION),PH010000000,ILOCOS NORTE,PH012800000,BANGUI,PH012804000,18.533204,120.761843
DOH000000000000023,493,BANGUI DISTRICT HOSPITAL,2020-04-17 16:33:24,2020-04-17 16:33:24,2020-04-17,90,500,0,2,40,0,0,100,15,REGION I (ILOCOS REGION),PH010000000,ILOCOS NORTE,PH012800000,BANGUI,PH012804000,18.533204,120.761843
DOH000000000000023,5314,BANGUI DISTRICT HOSPITAL,2020-05-15 8:24:53,2020-05-15 8:24:53,2020-05-15,86,500,90,0,32,70,95,481,8,REGION I (ILOCOS REGION),PH010000000,ILOCOS NORTE,PH012800000,BANGUI,PH012804000,18.533204,120.761843
DOH000000000000023,7081,BANGUI DISTRICT HOSPITAL,2020-05-22 8:50:46,2020-05-22 8:50:46,2020-05-22,80,700,77,0,32,70,90,1450,8,REGION I (ILOCOS REGION),PH010000000,ILOCOS NORTE,PH012800000,BANGUI,PH012804000,18.533204,120.761843
DOH000000000000024,1045,GERTES CLINIC AND HOSPITAL,2020-04-24 10:01:34,2020-04-24 10:01:34,2020-04-24,20,300,100,4,4,10,25,100,20,REGION I (ILOCOS REGION),PH010000000,ILOCOS NORTE,PH012800000,SAN NICOLAS,PH012820000,18.1748678,120.5900899
DOH000000000000024,3043,GERTES CLINIC AND HOSPITAL,2020-05-01 15:30:51,2020-05-01 15:30:51,2020-05-01,20,250,100,4,4,10,25,100,20,REGION I (ILOCOS REGION),PH010000000,ILOCOS NORTE,PH012800000,SAN NICOLAS,PH012820000,18.1748678,120.5900899
DOH000000000000024,4380,GERTES CLINIC AND HOSPITAL,2020-05-08 13:30:32,2020-05-08 13:30:32,2020-05-08,20,35,100,4,4,10,25,150,20,REGION I (ILOCOS REGION),PH010000000,ILOCOS NORTE,PH012800000,SAN NICOLAS,PH012820000,18.1748678,120.5900899
DOH000000000000024,5332,GERTES CLINIC AND HOSPITAL,2020-05-15 8:28:48,2020-05-15 8:28:48,2020-05-15,20,1000,100,4,4,10,25,120,20,REGION I (ILOCOS REGION),PH010000000,ILOCOS NORTE,PH012800000,SAN NICOLAS,PH012820000,18.1748678,120.5900899
DOH000000000000024,7589,GERTES CLINIC AND HOSPITAL,2020-05-22 12:42:11,2020-05-22 12:42:11,2020-05-22,20,800,100,4,4,10,25,120,20,REGION I (ILOCOS REGION),PH010000000,ILOCOS NORTE,PH012800000,SAN NICOLAS,PH012820000,18.1748678,120.5900899
DOH000000000000060,3201,SIRUMA MUNICIPAL HOSPITAL,2020-05-01 16:42:56,2020-05-01 16:42:56,2020-05-01,15,300,64,0,0,0,0,800,0,REGION V (BICOL REGION),PH050000000,CAMARINES SUR,PH051700000,SIRUMA,PH051735000,14.02313,123.25877
DOH000000000000060,4105,SIRUMA MUNICIPAL HOSPITAL,2020-05-08 10:48:41,2020-05-08 10:48:41,2020-05-08,0,100,0,0,0,0,0,622,0,REGION V (BICOL REGION),PH050000000,CAMARINES SUR,PH051700000,SIRUMA,PH051735000,14.02313,123.25877
DOH000000000000060,460,SIRUMA MUNICIPAL HOSPITAL,2020-04-17 16:05:34,2020-04-17 16:05:34,2020-04-17,0,0,0,0,0,0,0,0,0,REGION V (BICOL REGION),PH050000000,CAMARINES SUR,PH051700000,SIRUMA,PH051735000,14.02313,123.25877
DOH000000000000060,6260,SIRUMA MUNICIPAL HOSPITAL,2020-05-15 15:34:26,2020-05-15 15:34:26,2020-05-15,0,100,0,0,0,0,0,392,0,REGION V (BICOL REGION),PH050000000,CAMARINES SUR,PH051700000,SIRUMA,PH051735000,14.02313,123.25877
DOH000000000000060,771,SIRUMA MUNICIPAL HOSPITAL,2020-04-24 7:59:51,2020-04-24 7:59:51,2020-04-24,7,500,162,0,0,0,0,850,0,REGION V (BICOL REGION),PH050000000,CAMARINES SUR,PH051700000,SIRUMA,PH051735000,14.02313,123.25877
DOH000000000000060,7715,SIRUMA MUNICIPAL HOSPITAL,2020-05-22 13:57:09,2020-05-22 13:57:09,2020-05-22,10,0,0,0,0,0,0,692,0,REGION V (BICOL REGION),PH050000000,CAMARINES SUR,PH051700000,SIRUMA,PH051735000,14.02313,123.25877
DOH000000000000143,1102,ELVIN U. MASIGAN INTEGRATED MEMORIAL HOSPITAL,2020-04-24 10:26:04,2020-04-24 10:26:04,2020-04-24,5,4,0,0,0,0,10,50,0,REGION II (CAGAYAN VALLEY),PH020000000,ISABELA,PH023100000,SANTA MARIA,PH023134000,17.4735394,121.7407837
DOH000000000000143,2632,ELVIN U. MASIGAN INTEGRATED MEMORIAL HOSPITAL,2020-05-01 11:22:27,2020-05-01 11:22:27,2020-05-01,5,3,0,0,0,0,10,20,0,REGION II (CAGAYAN VALLEY),PH020000000,ISABELA,PH023100000,SANTA MARIA,PH023134000,17.4735394,121.7407837
DOH000000000000143,4115,ELVIN U. MASIGAN INTEGRATED MEMORIAL HOSPITAL,2020-05-08 10:56:09,2020-05-08 10:56:09,2020-05-08,15,50,0,0,0,0,15,50,0,REGION II (CAGAYAN VALLEY),PH020000000,ISABELA,PH023100000,SANTA MARIA,PH023134000,17.4735394,121.7407837
DOH000000000000143,443,ELVIN U. MASIGAN INTEGRATED MEMORIAL HOSPITAL,2020-04-17 15:54:47,2020-04-17 15:54:47,2020-04-17,0,4,0,0,0,0,0,0,0,REGION II (CAGAYAN VALLEY),PH020000000,ISABELA,PH023100000,SANTA MARIA,PH023134000,17.4735394,121.7407837
DOH000000000000143,5617,ELVIN U. MASIGAN INTEGRATED MEMORIAL HOSPITAL,2020-05-15 10:06:10,2020-05-15 10:06:10,2020-05-15,15,50,15,0,0,0,15,50,0,REGION II (CAGAYAN VALLEY),PH020000000,ISABELA,PH023100000,SANTA MARIA,PH023134000,17.4735394,121.7407837
DOH000000000000143,7182,ELVIN U. MASIGAN INTEGRATED MEMORIAL HOSPITAL,2020-05-22 9:24:47,2020-05-22 9:24:47,2020-05-22,40,500,40,0,0,40,40,100,0,REGION II (CAGAYAN VALLEY),PH020000000,ISABELA,PH023100000,SANTA MARIA,PH023134000,17.4735394,121.7407837
DOH000000000000221,1368,BARILI DISTRICT HOSPITAL,2020-04-24 13:21:45,2020-04-24 13:21:45,2020-04-24,53,850,172,21,15,4,228,613,0,REGION VII (CENTRAL VISAYAS),PH070000000,CEBU,PH072200000,BARILI,PH072210000,10.114619,123.503867
DOH000000000000221,2804,BARILI DISTRICT HOSPITAL,2020-05-01 13:21:53,2020-05-01 13:21:53,2020-05-01,73,0,1420,18,13,3,298,700,13,REGION VII (CENTRAL VISAYAS),PH070000000,CEBU,PH072200000,BARILI,PH072210000,10.114619,123.503867
DOH000000000000221,4108,BARILI DISTRICT HOSPITAL,2020-05-08 10:50:43,2020-05-08 10:50:43,2020-05-08,73,0,1270,18,13,3,273,550,13,REGION VII (CENTRAL VISAYAS),PH070000000,CEBU,PH072200000,BARILI,PH072210000,10.114619,123.503867
DOH000000000000221,490,BARILI DISTRICT HOSPITAL,2020-04-17 16:30:07,2020-04-17 16:30:07,2020-04-17,61,1500,150,22,5,15,115,400,15,REGION VII (CENTRAL VISAYAS),PH070000000,CEBU,PH072200000,BARILI,PH072210000,10.114619,123.503867
DOH000000000000221,5467,BARILI DISTRICT HOSPITAL,2020-05-15 9:09:11,2020-05-15 9:09:11,2020-05-15,24,300,1100,17,55,3,120,650,20,REGION VII (CENTRAL VISAYAS),PH070000000,CEBU,PH072200000,BARILI,PH072210000,10.114619,123.503867
DOH000000000000221,7200,BARILI DISTRICT HOSPITAL,2020-05-22 9:31:04,2020-05-22 9:31:04,2020-05-22,76,250,950,12,55,3,109,740,18,REGION VII (CENTRAL VISAYAS),PH070000000,CEBU,PH072200000,BARILI,PH072210000,10.114619,123.503867
DOH000000000000222,1539,BULALACAO COMMUNITY HOSPITAL,2020-04-24 14:55:23,2020-04-24 14:55:23,2020-04-24,3,50,450,1,9,7,54,200,10,REGION IV-B (MIMAROPA),PH170000000,ORIENTAL MINDORO,PH175200000,BULALACAO (SAN PEDRO),PH175204000,12.343837,121.334643
DOH000000000000222,2908,BULALACAO COMMUNITY HOSPITAL,2020-05-01 14:25:38,2020-05-01 14:25:38,2020-05-01,4,3850,450,26,78,100,58,125,56,REGION IV-B (MIMAROPA),PH170000000,ORIENTAL MINDORO,PH175200000,BULALACAO (SAN PEDRO),PH175204000,12.343837,121.334643
DOH000000000000222,4301,BULALACAO COMMUNITY HOSPITAL,2020-05-08 12:40:26,2020-05-08 12:40:26,2020-05-08,4,1500,300,36,50,100,58,100,20,REGION IV-B (MIMAROPA),PH170000000,ORIENTAL MINDORO,PH175200000,BULALACAO (SAN PEDRO),PH175204000,12.343837,121.334643
DOH000000000000222,5800,BULALACAO COMMUNITY HOSPITAL,2020-05-15 11:22:53,2020-05-15 11:22:53,2020-05-15,4,1800,330,46,40,100,54,81,64,REGION IV-B (MIMAROPA),PH170000000,ORIENTAL MINDORO,PH175200000,BULALACAO (SAN PEDRO),PH175204000,12.343837,121.334643
DOH000000000000222,7966,BULALACAO COMMUNITY HOSPITAL,2020-05-22 16:13:24,2020-05-22 16:13:24,2020-05-22,10,550,300,56,57,100,54,90,150,REGION IV-B (MIMAROPA),PH170000000,ORIENTAL MINDORO,PH175200000,BULALACAO (SAN PEDRO),PH175204000,12.343837,121.334643
DOH000000000000223,3488,CANLAON DISTRICT HOSPITAL,2020-05-03 12:48:37,2020-05-03 12:48:37,2020-05-03,9,1100,200,4,30,0,94,100,20,REGION VII (CENTRAL VISAYAS),PH070000000,NEGROS ORIENTAL,PH074600000,CANLAON CITY,PH074608000,10.4011497,123.2135773
DOH000000000000223,5108,CANLAON DISTRICT HOSPITAL,2020-05-10 16:48:20,2020-05-10 16:48:20,2020-05-10,9,100,200,4,26,0,94,175,20,REGION VII (CENTRAL VISAYAS),PH070000000,NEGROS ORIENTAL,PH074600000,CANLAON CITY,PH074608000,10.4011497,123.2135773
DOH000000000000223,6736,CANLAON DISTRICT HOSPITAL,2020-05-17 15:43:41,2020-05-17 15:43:41,2020-05-17,0,630,225,4,66,0,147,130,100,REGION VII (CENTRAL VISAYAS),PH070000000,NEGROS ORIENTAL,PH074600000,CANLAON CITY,PH074608000,10.4011497,123.2135773
DOH000000000000224,1998,DAANBANTAYAN DISTRICT HOSPITAL,2020-04-26 8:05:53,2020-04-26 8:05:53,2020-04-26,0,50,50,0,0,20,30,50,5,REGION VII (CENTRAL VISAYAS),PH070000000,CEBU,PH072200000,DAANBANTAYAN,PH072221000,11.24477,124.009062
DOH000000000000224,4990,DAANBANTAYAN DISTRICT HOSPITAL,2020-05-09 12:19:29,2020-05-09 12:19:29,2020-05-09,0,50,50,0,0,20,30,50,5,REGION VII (CENTRAL VISAYAS),PH070000000,CEBU,PH072200000,DAANBANTAYAN,PH072221000,11.24477,124.009062
DOH000000000000224,5073,DAANBANTAYAN DISTRICT HOSPITAL,2020-05-10 9:37:25,2020-05-10 9:37:25,2020-05-10,0,0,0,0,0,0,0,0,0,REGION VII (CENTRAL VISAYAS),PH070000000,CEBU,PH072200000,DAANBANTAYAN,PH072221000,11.24477,124.009062
DOH000000000000224,6692,DAANBANTAYAN DISTRICT HOSPITAL,2020-05-17 8:23:15,2020-05-17 8:23:15,2020-05-17,5,400,1000,8,86,0,204,1000,256,REGION VII (CENTRAL VISAYAS),PH070000000,CEBU,PH072200000,DAANBANTAYAN,PH072221000,11.24477,124.009062
DOH000000000000224,698,DAANBANTAYAN DISTRICT HOSPITAL,2020-04-19 15:50:34,2020-04-19 15:50:34,2020-04-19,8,100,100,0,0,50,51,100,20,REGION VII (CENTRAL VISAYAS),PH070000000,CEBU,PH072200000,DAANBANTAYAN,PH072221000,11.24477,124.009062
DOH000000000000225,1307,OSLOB DISTRICT HOSPITAL,2020-04-24 12:38:46,2020-04-24 12:38:46,2020-04-24,0,4500,248,9,68,9,100,1000,0,REGION VII (CENTRAL VISAYAS),PH070000000,CEBU,PH072200000,OSLOB,PH072235000,9.5261814,123.4332706
DOH000000000000225,3986,OSLOB DISTRICT HOSPITAL,2020-05-08 9:59:24,2020-05-08 9:59:24,2020-05-08,71,700,15,5,56,13,180,500,106,REGION VII (CENTRAL VISAYAS),PH070000000,CEBU,PH072200000,OSLOB,PH072235000,9.5261814,123.4332706
DOH000000000000225,5354,OSLOB DISTRICT HOSPITAL,2020-05-15 8:34:11,2020-05-15 8:34:11,2020-05-15,71,700,15,5,56,13,180,500,106,REGION VII (CENTRAL VISAYAS),PH070000000,CEBU,PH072200000,OSLOB,PH072235000,9.5261814,123.4332706
DOH000000000000225,59,OSLOB DISTRICT HOSPITAL,2020-04-17 8:54:46,2020-04-17 8:54:46,2020-04-17,0,5000,250,10,68,10,100,1000,0,REGION VII (CENTRAL VISAYAS),PH070000000,CEBU,PH072200000,OSLOB,PH072235000,9.5261814,123.4332706
DOH000000000000225,7120,OSLOB DISTRICT HOSPITAL,2020-05-22 8:58:47,2020-05-22 8:58:47,2020-05-22,71,700,15,5,56,13,168,450,91,REGION VII (CENTRAL VISAYAS),PH070000000,CEBU,PH072200000,OSLOB,PH072235000,9.5261814,123.4332706
DOH000000000000226,1136,ORIENTAL MINDORO CENTRAL DISTRICT HOSPITAL,2020-04-24 10:42:22,2020-04-24 10:42:22,2020-04-24,77,200,18,0,45,0,127,100,81,REGION IV-B (MIMAROPA),PH170000000,ORIENTAL MINDORO,PH175200000,PINAMALAYAN,PH175209000,13.002137,121.478765
DOH000000000000226,3111,ORIENTAL MINDORO CENTRAL DISTRICT HOSPITAL,2020-05-01 15:58:41,2020-05-01 15:58:41,2020-05-01,90,250,134,0,78,129,187,1700,36,REGION IV-B (MIMAROPA),PH170000000,ORIENTAL MINDORO,PH175200000,PINAMALAYAN,PH175209000,13.002137,121.478765
DOH000000000000226,4368,ORIENTAL MINDORO CENTRAL DISTRICT HOSPITAL,2020-05-08 13:24:37,2020-05-08 13:24:37,2020-05-08,63,200,70,0,53,80,135,1450,50,REGION IV-B (MIMAROPA),PH170000000,ORIENTAL MINDORO,PH175200000,PINAMALAYAN,PH175209000,13.002137,121.478765
DOH000000000000226,528,ORIENTAL MINDORO CENTRAL DISTRICT HOSPITAL,2020-04-17 17:08:28,2020-04-17 17:08:28,2020-04-17,16,600,41,0,70,16,105,600,108,REGION IV-B (MIMAROPA),PH170000000,ORIENTAL MINDORO,PH175200000,PINAMALAYAN,PH175209000,13.002137,121.478765
DOH000000000000226,6051,ORIENTAL MINDORO CENTRAL DISTRICT HOSPITAL,2020-05-15 14:11:25,2020-05-15 13:52:06,2020-05-15,77,150,20,0,68,51,115,900,115,REGION IV-B (MIMAROPA),PH170000000,ORIENTAL MINDORO,PH175200000,PINAMALAYAN,PH175209000,13.002137,121.478765
DOH000000000000226,8008,ORIENTAL MINDORO CENTRAL DISTRICT HOSPITAL,2020-05-22 16:36:35,2020-05-22 16:36:35,2020-05-22,67,50,5,98,164,115,101,350,105,REGION IV-B (MIMAROPA),PH170000000,ORIENTAL MINDORO,PH175200000,PINAMALAYAN,PH175209000,13.002137,121.478765
DOH000000000000227,1149,REGIONAL HEALTH SERVICE 2 HOSPITAL,2020-04-24 10:48:19,2020-04-24 10:48:19,2020-04-24,1,600,6,15,9,13,1,400,46,,,,,,,,
DOH000000000000227,2360,REGIONAL HEALTH SERVICE 2 HOSPITAL,2020-05-01 9:09:56,2020-05-01 9:09:56,2020-05-01,1,400,6,15,9,0,1,409,44,,,,,,,,
DOH000000000000227,408,REGIONAL HEALTH SERVICE 2 HOSPITAL,2020-04-17 15:39:21,2020-04-17 15:39:21,2020-04-17,0,700,6,15,11,13,1,500,50,,,,,,,,
DOH000000000000227,4252,REGIONAL HEALTH SERVICE 2 HOSPITAL,2020-05-08 12:05:36,2020-05-08 12:05:36,2020-05-08,1,100,6,15,29,63,1,470,44,,,,,,,,
DOH000000000000227,5344,REGIONAL HEALTH SERVICE 2 HOSPITAL,2020-05-15 8:32:03,2020-05-15 8:32:03,2020-05-15,0,100,6,3,22,13,1,470,42,,,,,,,,
DOH000000000000227,7560,REGIONAL HEALTH SERVICE 2 HOSPITAL,2020-05-22 12:24:50,2020-05-22 12:24:50,2020-05-22,0,100,6,3,22,13,1,450,34,,,,,,,,
DOH000000000000228,1250,QUEZON MEDICARE HOSPITAL,2020-04-24 11:51:17,2020-04-24 11:51:17,2020-04-24,0,0,0,0,27,0,48,10,149,REGION IV-B (MIMAROPA),PH170000000,PALAWAN,PH175300000,QUEZON,PH175317000,9.23962,117.99784
DOH000000000000228,2642,QUEZON MEDICARE HOSPITAL,2020-05-01 11:25:14,2020-05-01 11:25:14,2020-05-01,0,0,0,0,25,0,48,10,54,REGION IV-B (MIMAROPA),PH170000000,PALAWAN,PH175300000,QUEZON,PH175317000,9.23962,117.99784
DOH000000000000228,4454,QUEZON MEDICARE HOSPITAL,2020-05-08 14:06:39,2020-05-08 14:06:39,2020-05-08,0,0,0,0,24,0,40,0,40,REGION IV-B (MIMAROPA),PH170000000,PALAWAN,PH175300000,QUEZON,PH175317000,9.23962,117.99784
DOH000000000000228,593,QUEZON MEDICARE HOSPITAL,2020-04-17 21:51:41,2020-04-17 21:51:41,2020-04-17,0,0,0,0,28,0,50,150,150,REGION IV-B (MIMAROPA),PH170000000,PALAWAN,PH175300000,QUEZON,PH175317000,9.23962,117.99784
DOH000000000000228,6331,QUEZON MEDICARE HOSPITAL,2020-05-15 16:14:56,2020-05-15 16:14:56,2020-05-15,0,200,25,10,54,25,40,200,90,REGION IV-B (MIMAROPA),PH170000000,PALAWAN,PH175300000,QUEZON,PH175317000,9.23962,117.99784
DOH000000000000228,8015,QUEZON MEDICARE HOSPITAL,2020-05-22 16:39:44,2020-05-22 16:39:44,2020-05-22,70,2200,225,27,74,568,30,2050,93,REGION IV-B (MIMAROPA),PH170000000,PALAWAN,PH175300000,QUEZON,PH175317000,9.23962,117.99784
DOH000000000000229,2279,BUSTOS COMMUNITY HOSPITAL,2020-05-01 8:41:42,2020-05-01 8:41:42,2020-05-01,37,500,177,2,79,60,80,250,0,REGION III (CENTRAL LUZON),PH030000000,BULACAN,PH031400000,BUSTOS,PH031406000,14.953463,120.91923
DOH000000000000229,3665,BUSTOS COMMUNITY HOSPITAL,2020-05-08 8:07:57,2020-05-08 8:07:57,2020-05-08,113,400,107,7,99,110,90,750,0,REGION III (CENTRAL LUZON),PH030000000,BULACAN,PH031400000,BUSTOS,PH031406000,14.953463,120.91923
DOH000000000000229,5494,BUSTOS COMMUNITY HOSPITAL,2020-05-15 9:17:05,2020-05-15 9:17:05,2020-05-15,95,300,60,7,97,100,88,3950,0,REGION III (CENTRAL LUZON),PH030000000,BULACAN,PH031400000,BUSTOS,PH031406000,14.953463,120.91923
DOH000000000000229,7147,BUSTOS COMMUNITY HOSPITAL,2020-05-22 9:09:16,2020-05-22 9:09:16,2020-05-22,84,200,100,27,94,60,124,3600,0,REGION III (CENTRAL LUZON),PH030000000,BULACAN,PH031400000,BUSTOS,PH031406000,14.953463,120.91923
